Date,Company,Title,Job Link,criteria
2022-02-02,Intel Corporation,Sr. Executive Administrative Assistant,https://www.linkedin.com/jobs/view/sr-executive-administrative-assistant-at-intel-corporation-2901987582?refId=Urp6CPmklNV9kVKZYpiq3g%3D%3D&trackingId=NQEp54QyX4ocBFPyynnfww%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card,"Seniority level
Mid-Senior level
Employment type
Full-time
Job function
Administrative
Industries
IT Services and IT Consulting, Appliances, Electrical, and Electronics Manufacturing, and Software Development"
2022-02-04,Dignity Health,AR Payment Representative II,https://www.linkedin.com/jobs/view/ar-payment-representative-ii-at-dignity-health-2906293099?refId=Urp6CPmklNV9kVKZYpiq3g%3D%3D&trackingId=ITkV1ekZgMkOqNyppQvS9A%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card,"
        
          
            Seniority level
          
          
            Mid-Senior level
          
        
      
        
          Employment type
        
        
          Full-time
        
      
        
          
            Job function
          
          
            Administrative
          
        
        
          
            Industries
          
          
          IT Services and IT Consulting, Appliances, Electrical, and Electronics Manufacturing, and Software Development
          
        
    "
2022-01-13,Intel Corporation,Marketing Learning and Engagement Specialist,https://www.linkedin.com/jobs/view/marketing-learning-and-engagement-specialist-at-intel-corporation-2875476254?refId=Urp6CPmklNV9kVKZYpiq3g%3D%3D&trackingId=KOJUaAh9D85Zc8WlCgrQxQ%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card,"Seniority level
Mid-Senior level
Employment type
Full-time
Job function
Marketing and Sales
Industries
IT Services and IT Consulting, Appliances, Electrical, and Electronics Manufacturing, and Software Development"
2022-01-16,Dignity Health,Patient Logistics Coordinator,https://www.linkedin.com/jobs/view/patient-logistics-coordinator-at-dignity-health-2897784497?refId=Urp6CPmklNV9kVKZYpiq3g%3D%3D&trackingId=wvjFNsUCvdde30x%2Bv6YuRA%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card,"
        
          
            Seniority level
          
          
            Mid-Senior level
          
        
      
        
          Employment type
        
        
          Full-time
        
      
        
          
            Job function
          
          
            Marketing and Sales
          
        
        
          
            Industries
          
          
          IT Services and IT Consulting, Appliances, Electrical, and Electronics Manufacturing, and Software Development
          
        
    "
2022-02-03,Tetra Tech,"Mechanical Designer - Sacramento, CA",https://www.linkedin.com/jobs/view/mechanical-designer-sacramento-ca-at-tetra-tech-2903412901?refId=Urp6CPmklNV9kVKZYpiq3g%3D%3D&trackingId=6wtJo7EnEemcLvNaYYCtDg%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card,"Seniority level
Entry level
Employment type
Full-time
Job function
Engineering and Information Technology
Industries
Renewable Energy Semiconductor Manufacturing, Civil Engineering, and Oil and Gas"
2022-02-05,Dignity Health,Medical Office Representative I Float,https://www.linkedin.com/jobs/view/medical-office-representative-i-float-at-dignity-health-2907593294?refId=Urp6CPmklNV9kVKZYpiq3g%3D%3D&trackingId=LoxPhgqmZXVADeVsX0%2FRnQ%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card,"Seniority level
Entry level
Employment type
Full-time
Job function
Sales and Business Development
Industries
Hospitals and Health Care"
2022-01-13,Intel Corporation,Data Scientist (SK),https://www.linkedin.com/jobs/view/data-scientist-sk-at-intel-corporation-2875478242?refId=Urp6CPmklNV9kVKZYpiq3g%3D%3D&trackingId=TzMrm34xv4my5soA%2FD9ADQ%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card,"Seniority level
Mid-Senior level
Employment type
Full-time
Job function
Engineering and Information Technology
Industries
IT Services and IT Consulting, Appliances, Electrical, and Electronics Manufacturing, and Software Development"
2022-02-03,Dignity Health,Pharmacy Clerk,https://www.linkedin.com/jobs/view/pharmacy-clerk-at-dignity-health-2903825399?refId=Urp6CPmklNV9kVKZYpiq3g%3D%3D&trackingId=Mu7NkMmhDh%2BsoIzFAW1v%2Fg%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card,"
        
          
            Seniority level
          
          
            Mid-Senior level
          
        
      
        
          Employment type
        
        
          Full-time
        
      
        
          
            Job function
          
          
            Engineering and Information Technology
          
        
        
          
            Industries
          
          
          IT Services and IT Consulting, Appliances, Electrical, and Electronics Manufacturing, and Software Development
          
        
    "
2022-01-10,Half Price Books,Bookseller,https://www.linkedin.com/jobs/view/bookseller-at-half-price-books-2872108764?refId=Urp6CPmklNV9kVKZYpiq3g%3D%3D&trackingId=Ccw9caXNjPpBEgr0tfZtwQ%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card,"
        
          
            Seniority level
          
          
            Entry level
          
        
      
        
          Employment type
        
        
          Part-time
        
      
        
          
            Job function
          
          
            Health Care Provider
          
        
        
          
            Industries
          
          
          Hospitals and Health Care
          
        
    "
2022-01-14,Dewberry,Entry Level Transportation Planner,https://www.linkedin.com/jobs/view/entry-level-transportation-planner-at-dewberry-2874604321?refId=Urp6CPmklNV9kVKZYpiq3g%3D%3D&trackingId=VvH4wkypAMxatmhKeWYNAA%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card,"Seniority level
Associate
Employment type
Full-time
Job function
Design, Consulting, and Engineering
Industries
IT Services and IT Consulting, Construction, and Civil Engineering"
2022-01-11,"AgVantis, Inc.",PR & Comms Assistant,https://www.linkedin.com/jobs/view/pr-comms-assistant-at-agvantis-inc-2872339372?refId=Urp6CPmklNV9kVKZYpiq3g%3D%3D&trackingId=5Ap9gDEgMBuNvWgqz5emVw%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card,"
        
          
            Seniority level
          
          
            Associate
          
        
      
        
          Employment type
        
        
          Full-time
        
      
        
          
            Job function
          
          
            Design, Consulting, and Engineering
          
        
        
          
            Industries
          
          
          IT Services and IT Consulting, Construction, and Civil Engineering
          
        
    "
2022-01-10,Gissa Hand,Commercial Analyst - Renewable Energy,https://www.linkedin.com/jobs/view/commercial-analyst-renewable-energy-at-gissa-hand-2870754991?refId=Urp6CPmklNV9kVKZYpiq3g%3D%3D&trackingId=Mc36d%2BlX%2BSECE4bSYb5VeA%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card,"
        
          
            Seniority level
          
          
            Entry level
          
        
      
        
          Employment type
        
        
          Full-time
        
      
        
          
            Job function
          
          
            Marketing, Public Relations, and Writing/Editing
          
        
        
          
            Industries
          
          
          Software Development
          
        
    "
2022-01-16,Dignity Health,Patient Logistics Coordinator,https://www.linkedin.com/jobs/view/patient-logistics-coordinator-at-dignity-health-2879254770?refId=Urp6CPmklNV9kVKZYpiq3g%3D%3D&trackingId=24gULIijfTsk9vPJ7qh61w%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card,"
        
          
            Seniority level
          
          
            Associate
          
        
      
        
          Employment type
        
        
          Full-time
        
      
        
          
            Job function
          
          
            Sales and Management
          
        
        
          
            Industries
          
          
          IT Services and IT Consulting
          
        
    "
2022-01-17,Stichting Speelkr8,Assistant product developer and buyer,https://www.linkedin.com/jobs/view/assistant-product-developer-and-buyer-at-stichting-speelkr8-2879445529?refId=Urp6CPmklNV9kVKZYpiq3g%3D%3D&trackingId=0xLE1fphpsj8LX2PeIRZ%2FQ%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card,"
        
          
            Seniority level
          
          
            Entry level
          
        
      
        
          Employment type
        
        
          Full-time
        
      
        
          
            Job function
          
          
            Management and Manufacturing
          
        
        
          
            Industries
          
          
          Hospitals and Health Care
          
        
    "
2022-01-14,Sherri Loomis Artwork,Events Fundraising Officer,https://www.linkedin.com/jobs/view/events-fundraising-officer-at-sherri-loomis-artwork-2876369605?refId=XSwx69ZoMvQu%2FzRNHjiWPA%3D%3D&trackingId=C%2BbgtA6QfYMw1DWax6Dv9g%3D%3D&position=1&pageNum=1&trk=public_jobs_jserp-result_search-card,"
        
          
            Seniority level
          
          
            Entry level
          
        
      
        
          Employment type
        
        
          Full-time
        
      
        
          
            Job function
          
          
            Product Management and Marketing
          
        
        
          
            Industries
          
          
          Philanthropic Fundraising Services
          
        
    "
2022-01-15,Dignity Health,Chief Operating Officer,https://www.linkedin.com/jobs/view/chief-operating-officer-at-dignity-health-2878161939?refId=XSwx69ZoMvQu%2FzRNHjiWPA%3D%3D&trackingId=4UNqxiEO4LVafWYWppGuHQ%3D%3D&position=2&pageNum=1&trk=public_jobs_jserp-result_search-card,"
        
          
            Seniority level
          
          
            Entry level
          
        
      
        
          Employment type
        
        
          Full-time
        
      
        
          
            Job function
          
          
            Other
          
        
        
          
            Industries
          
          
          Artists and Writers
          
        
    "
2022-01-28,NEW MEDIA CONCEPT SP. z o.o.,Fashion Intern,https://www.linkedin.com/jobs/view/fashion-intern-at-new-media-concept-sp-z-o-o-2895115371?refId=XSwx69ZoMvQu%2FzRNHjiWPA%3D%3D&trackingId=8tyTF7d4PFr3C9B7S5Cvkw%3D%3D&position=3&pageNum=1&trk=public_jobs_jserp-result_search-card,"Seniority level
Internship
Employment type
Temporary
Job function
Design, Art/Creative, and Information Technology
Industries
Book and Periodical Publishing"
2022-02-03,Glumac,"Mechanical Designer - Sacramento, CA",https://www.linkedin.com/jobs/view/mechanical-designer-sacramento-ca-at-glumac-2902875633?refId=XSwx69ZoMvQu%2FzRNHjiWPA%3D%3D&trackingId=kU4h5VUq2jihk3VXm4FMTQ%3D%3D&position=4&pageNum=1&trk=public_jobs_jserp-result_search-card,"
        
          
            Seniority level
          
          
            Internship
          
        
      
        
          Employment type
        
        
          Temporary
        
      
        
          
            Job function
          
          
            Design, Art/Creative, and Information Technology
          
        
        
          
            Industries
          
          
          Book and Periodical Publishing
          
        
    "
2022-02-04,Ross Video,Human Resources Representative,https://www.linkedin.com/jobs/view/human-resources-representative-at-ross-video-2908316642?refId=XSwx69ZoMvQu%2FzRNHjiWPA%3D%3D&trackingId=Z%2Bs1W1Hx%2FbZjSTREj1Vycg%3D%3D&position=5&pageNum=1&trk=public_jobs_jserp-result_search-card,"
        
          
            Seniority level
          
          
            Entry level
          
        
      
        
          Employment type
        
        
          Full-time
        
      
        
          
            Job function
          
          
            Engineering and Information Technology
          
        
        
          
            Industries
          
          
          Construction, Architecture and Planning, and Design Services
          
        
    "
2022-01-25,"VP Corp, S.A. DE C.V.",Commercial Analyst,https://www.linkedin.com/jobs/view/commercial-analyst-at-vp-corp-s-a-de-c-v-2890822028?refId=XSwx69ZoMvQu%2FzRNHjiWPA%3D%3D&trackingId=2hiKz2oR%2BdrOXQSxv4mUvQ%3D%3D&position=6&pageNum=1&trk=public_jobs_jserp-result_search-card,"
        
          
            Seniority level
          
          
            Entry level
          
        
      
        
          Employment type
        
        
          Full-time
        
      
        
          
            Job function
          
          
            Human Resources
          
        
        
          
            Industries
          
          
          Broadcast Media Production and Distribution
          
        
    "
2022-01-26,Sarah's Inn,Facilities Helpdesk Manager,https://www.linkedin.com/jobs/view/facilities-helpdesk-manager-at-sarah-s-inn-2891787907?refId=XSwx69ZoMvQu%2FzRNHjiWPA%3D%3D&trackingId=lx4h43BPjq92ZrpLoFWRoA%3D%3D&position=7&pageNum=1&trk=public_jobs_jserp-result_search-card,"
        
          
            Seniority level
          
          
            Associate
          
        
      
        
          Employment type
        
        
          Full-time
        
      
        
          
            Job function
          
          
            Sales and Management
          
        
        
          
            Industries
          
          
          Marketing Services
          
        
    "
2022-01-19,ACTIVE RELOCATION (SWITZERLAND) SA,Investment Analyst,https://www.linkedin.com/jobs/view/investment-analyst-at-active-relocation-switzerland-sa-2882862909?refId=XSwx69ZoMvQu%2FzRNHjiWPA%3D%3D&trackingId=u1Eet4le9B0ncnYCnkq6EQ%3D%3D&position=8&pageNum=1&trk=public_jobs_jserp-result_search-card,"
        
          
            Seniority level
          
          
            Associate
          
        
      
        
          Employment type
        
        
          Contract
        
      
        
          
            Job function
          
          
            Information Technology
          
        
        
          
            Industries
          
          
          Non-profit Organizations
          
        
    "
2022-02-02,Berkshire Hathaway GUARD Insurance Companies,Underwriting Analyst Trainee - Commercial Lines - Work from Home,https://www.linkedin.com/jobs/view/underwriting-analyst-trainee-commercial-lines-work-from-home-at-berkshire-hathaway-guard-insurance-companies-2902724308?refId=XSwx69ZoMvQu%2FzRNHjiWPA%3D%3D&trackingId=l8pjAfknPhndRUfzGAyKIA%3D%3D&position=9&pageNum=1&trk=public_jobs_jserp-result_search-card,"Seniority level
Internship
Employment type
Full-time
Job function
Finance and Sales
Industries
Software Development, Insurance, and Financial Services"
2022-01-21,Dignity Health,Accounts Payable Specialist,https://www.linkedin.com/jobs/view/accounts-payable-specialist-at-dignity-health-2886532250?refId=XSwx69ZoMvQu%2FzRNHjiWPA%3D%3D&trackingId=trI46TKLwf%2B4adDFCCHj%2Fg%3D%3D&position=10&pageNum=1&trk=public_jobs_jserp-result_search-card,"Seniority level
Entry level
Employment type
Full-time
Job function
Accounting/Auditing and Finance
Industries
Hospitals and Health Care"
